time,magnitude,sigma_time,sigma_amp,cov_time_amp,gamma_score,event_index,x(km),y(km),z(km)
2019-12-24 19:56:35.090,999,0.9757124333632607,0,0,7.814573127867605,2019-12-24 19:56:35.090,1005.1468144342172,859.1946542231365,0.0
2019-12-24 19:10:10.891,999,0.6786159476646048,0,0,4.4955482182572934,2019-12-24 19:10:10.891,911.865601164798,1051.923354363462,119.73706298619999
2019-12-24 19:31:53.704,999,0.7178171392850966,0,0,4.680555642329745,2019-12-24 19:31:53.704,905.6958420024318,1029.5118992843613,62.673760917608
2019-12-24 19:25:22.600,999,0.07102223949901504,0,0,4.544428562474353,2019-12-24 19:25:22.600,991.0008650610927,853.7318975025714,26.556914713256113
2019-12-24 19:43:14.821,999,0.588237853874734,0,0,7.965620808057439,2019-12-24 19:43:14.821,1010.9770763119855,832.7326247990311,37.625931291738716
2019-12-24 20:09:47.381,999,0.5932390248392857,0,0,7.744190698114548,2019-12-24 20:09:47.381,993.7919424737245,855.1686505959963,33.77697743816524
2019-12-24 19:58:45.810,999,0.12792239387560778,0,0,5.718888184898696,2019-12-24 19:58:45.810,991.8474128074881,852.6186934893582,30.1130953906996
2019-12-24 19:49:34.686,999,0.00860411262494631,0,0,4.720557888643747,2019-12-24 19:49:34.686,958.9095617838657,926.9585956165548,121.26650387882428
2019-12-24 19:48:09.679,999,0.15720438458085859,0,0,5.766904043168245,2019-12-24 19:48:09.679,991.4103749625156,849.4824679950822,27.18475818088178
2019-12-24 20:03:05.390,999,0.1521920254156171,0,0,5.90336911050733,2019-12-24 20:03:05.390,994.0593400032618,851.2138879292727,26.776840238874307
2019-12-24 20:11:13.508,999,0.2562057779976722,0,0,5.793835034212183,2019-12-24 20:11:13.508,991.3460143699937,847.6356101533302,32.77073347249914
2019-12-24 20:13:20.871,999,0.8168924161684734,0,0,6.491095950910836,2019-12-24 20:13:20.871,1004.9631713850133,834.6280223267142,0.0
2019-12-24 20:23:26.372,999,0.01883086664641706,0,0,4.6498883593650415,2019-12-24 20:23:26.372,996.8384214234775,851.6389892933254,16.96847727281335
2019-12-24 20:32:11.005,999,0.23003803281396012,0,0,5.995569417273727,2019-12-24 20:32:11.005,995.4730871211432,860.4664469843178,20.822191847811762
2019-12-24 20:39:10.755,999,0.5757548019327815,0,0,5.605182411197931,2019-12-24 20:39:10.755,1008.754597927985,832.879768294101,0.0
2019-12-24 20:50:37.719,999,0.4480761321023522,0,0,5.956695101933432,2019-12-24 20:50:37.719,970.7341556403534,862.1339728080213,28.21287376701197
2019-12-24 21:10:34.051,999,0.3720574652209225,0,0,6.999388189427483,2019-12-24 21:10:34.051,999.6550462565538,852.663525639149,22.644304683341108
2019-12-24 21:17:23.111,999,0.3837116552915669,0,0,3.6934538573324076,2019-12-24 21:17:23.111,1004.2932365102623,836.644532195924,0.0
2019-12-24 21:22:24.802,999,0.12746510425411173,0,0,5.999994684029251,2019-12-24 21:22:24.802,992.2857996198812,843.729468392683,22.367829954487856
2019-12-24 21:25:50.871,999,0.9720258887158117,0,0,7.37165091102455,2019-12-24 21:25:50.871,993.3361078758429,872.0836841811347,0.3112972010675827
2019-12-24 21:38:26.044,999,0.49187063482094845,0,0,4.9617903176673845,2019-12-24 21:38:26.044,962.7174814446778,939.5355703494517,148.12562556695184
2019-12-24 21:44:29.020,999,0.8058941369850611,0,0,5.83306282833089,2019-12-24 21:44:29.020,1012.1874665630975,828.0671355057904,0.0
2019-12-24 21:49:00.988,999,0.47207035410740966,0,0,5.880956441500423,2019-12-24 21:49:00.988,990.789253411241,834.0527877336972,34.397604557899506
2019-12-24 22:05:35.463,999,0.13918270770796387,0,0,5.999813076931766,2019-12-24 22:05:35.463,994.212249599823,855.8139716698669,21.697817897060634
2019-12-24 22:24:26.526,999,0.48127794730524714,0,0,4.99614709197162,2019-12-24 22:24:26.526,989.6735336836483,859.6678545049135,12.226913624336492
2019-12-24 22:33:31.387,999,0.05866464199379241,0,0,5.9938056697499595,2019-12-24 22:33:31.387,991.1848917483385,848.1866294437939,25.85659071723114
2019-12-24 22:46:28.965,999,0.0014968275232357814,0,0,4.757692019605454,2019-12-24 22:46:28.965,988.2700149872559,849.4511855714774,28.697030451740343
2019-12-24 22:47:36.422,999,0.5925321612511202,0,0,9.555824250225312,2019-12-24 22:47:36.422,1008.9020634712855,830.692285962849,0.0
