pick_id,arrival_time,probability,phasehint,network,station,location,instrument_type,author,creation_time,event_start_time,event_end_time,detection_probability,snr,station_lat,station_lon,station_elv,file_name
20191224.190421.92-S-CM.URMC.00.HH,2019-12-24 19:04:21.928393,0.01,S,CM,URMC,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:04:19.138393,2019-12-24 19:04:29.988393,0.18,5.9,3.24719,-74.37879,725.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/URMC/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed
20191224.190425.05-P-CM.GARC.00.HH,2019-12-24 19:04:25.058393,0.47,P,CM,GARC,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:04:24.268393,2019-12-24 19:04:58.938393,0.96,26.7,2.186667,-75.493167,1999.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/GARC/CM.GARC.00.HHE__20191224T185959Z__20191224T205959Z.mseed
20191224.190429.96-P-CM.YOT.00.HH,2019-12-24 19:04:29.968393,0.23,P,CM,YOT,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:04:19.648393,2019-12-24 19:05:12.008393,0.59,23.0,3.9835,-76.345,1040.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/YOT/CM.YOT.00.HHN__20191224T190000Z__20191224T210000Z.mseed
20191224.190433.60-S-CM.CHI.00.HH,2019-12-24 19:04:33.608394,0.43,S,CM,CHI,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:04:15.808394,2019-12-24 19:04:41.408394,0.97,4.2,4.6295,-73.7371,3140.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CHI/CM.CHI.00.HHE__20191224T185959Z__20191224T205959Z.mseed
20191224.190433.83-S-CM.ORTC.00.HH,2019-12-24 19:04:33.838393,0.27,S,CM,ORTC,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:04:11.998393,2019-12-24 19:04:41.888393,0.84,6.2,3.909,-75.246,446.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/ORTC/CM.ORTC.00.HHN__20191224T185959Z__20191224T205959Z.mseed
20191224.190448.86-S-CM.GARC.00.HH,2019-12-24 19:04:48.868393,0.39,S,CM,GARC,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:04:24.268393,2019-12-24 19:04:58.938393,0.96,8.3,2.186667,-75.493167,1999.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/GARC/CM.GARC.00.HHE__20191224T185959Z__20191224T205959Z.mseed
20191224.190501.22-S-CM.YOT.00.HH,2019-12-24 19:05:01.228393,0.22,S,CM,YOT,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:04:19.648393,2019-12-24 19:05:12.008393,0.59,10.9,3.9835,-76.345,1040.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/YOT/CM.YOT.00.HHN__20191224T190000Z__20191224T210000Z.mseed
20191224.190505.19-S-CM.FLO2.00.HH,2019-12-24 19:05:05.198393,0.01,S,CM,FLO2,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:05:02.568393,2019-12-24 19:05:12.008393,0.3,,1.582667,-75.652667,365.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/FLO2/CM.FLO2.00.HHZ__20191224T190000Z__20191224T210000Z.mseed
20191224.190557.16-P-CM.CLEJA.10.HN,2019-12-24 19:05:57.160000,0.86,P,CM,CLEJA,10,HN,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:05:57.140000,2019-12-24 19:06:01.430000,0.84,10.5,3.536269,-74.041429,749.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CLEJA/CM.CLEJA.10.HNE__20191224T190336Z__20191224T210000Z.mseed
20191224.190600.12-S-CM.CLEJA.10.HN,2019-12-24 19:06:00.120000,0.55,S,CM,CLEJA,10,HN,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:05:57.140000,2019-12-24 19:06:01.430000,0.84,7.4,3.536269,-74.041429,749.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CLEJA/CM.CLEJA.10.HNE__20191224T190336Z__20191224T210000Z.mseed
