pick_id,timestamp,prob,type,network,station,location,instrument_type,author,creation_time,event_start_time,event_end_time,detection_probability,snr,station_lat,station_lon,station_elv,file_name,mseed_start_time,mseed_end_time,sampling_rate,sample,segment,segment_type,id,event_idx,prob_gamma
20191224.222613.48-S-CM.URMC.00.HH,2019-12-24 22:26:13.488393,0.79747283,S,CM,URMC,0,HH,PhaseNet,2023-01-18 15:19:38.970818,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed_516000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,1349,516000,single,CM.URMC.00.HH,44,0.00011716417973286477
20191224.222627.27-P-CM.ORTC.00.HH,2019-12-24 22:26:27.278393,0.349663,P,CM,ORTC,0,HH,PhaseNet,2023-01-18 15:20:02.872692,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed_1239000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,1228,1239000,overlap,CM.ORTC.00.HH,44,0.00021577998186249594
20191224.222644.64-S-CM.ORTC.00.HH,2019-12-24 22:26:44.648393,0.43773654,S,CM,ORTC,0,HH,PhaseNet,2023-01-18 15:18:40.803287,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHE__20191224T205959Z__20191224T225959Z.mseed_519000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,1465,519000,single,CM.ORTC.00.HH,44,0.0001537969489727168
20191224.222647.90-S-CM.CHI.00.HH,2019-12-24 22:26:47.908393,0.44926202,S,CM,CHI,0,HH,PhaseNet,2023-01-18 15:20:01.293941,,,,,4.6295,-73.7371,3140.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.CHI.00.HHN__20191224T205959Z__20191224T225959Z.mseed_1242000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,291,1242000,overlap,CM.CHI.00.HH,44,0.00018977274686674157
20191224.222429.82-P-CM.URMC.00.HH,2019-12-24 22:24:29.828394,0.94809425,P,CM,URMC,0,HH,PhaseNet,2023-01-18 15:19:02.818258,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed_1227000,2019-12-24 20:59:59.998394,2019-12-24 22:59:59.998394,100.0,1483,1227000,overlap,CM.URMC.00.HH,45,0.00018371977650998795
20191224.222433.92-S-CM.URMC.00.HH,2019-12-24 22:24:33.928393,0.71825415,S,CM,URMC,0,HH,PhaseNet,2023-01-18 15:19:47.954684,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed_1227000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,1893,1227000,overlap,CM.URMC.00.HH,45,0.00011716417973286477
20191224.222445.88-P-CM.ORTC.00.HH,2019-12-24 22:24:45.888393,0.75051564,P,CM,ORTC,0,HH,PhaseNet,2023-01-18 15:20:02.823031,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed_1230000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,89,1230000,overlap,CM.ORTC.00.HH,45,0.00021577998186249594
20191224.222449.51-P-CM.CHI.00.HH,2019-12-24 22:24:49.518393,0.52068686,P,CM,CHI,0,HH,PhaseNet,2023-01-18 15:19:54.526112,,,,,4.6295,-73.7371,3140.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.CHI.00.HHN__20191224T205959Z__20191224T225959Z.mseed_507000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,1952,507000,single,CM.CHI.00.HH,45,0.0001537969489727168
20191224.222506.24-S-CM.ORTC.00.HH,2019-12-24 22:25:06.248393,0.6156719,S,CM,ORTC,0,HH,PhaseNet,2023-01-18 15:18:17.108497,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHN__20191224T205959Z__20191224T225959Z.mseed_1230000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,2125,1230000,overlap,CM.ORTC.00.HH,45,0.00018977274686674157
20191224.222809.03-P-CM.URMC.00.HH,2019-12-24 22:28:09.038394,0.9694531,P,CM,URMC,0,HH,PhaseNet,2023-01-18 15:18:55.742973,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed_528000,2019-12-24 20:59:59.998394,2019-12-24 22:59:59.998394,100.0,904,528000,single,CM.URMC.00.HH,46,0.00018371977650998795
