depth,vp,vs,disc,rho
0.0,5.9,0.0,,2.7
1,6.1,0.0,,2.7
14.0,6.3,0.0,,2.7
22.0,6.5,0.0,,2.7
35.0,6.9,0.0,,2.7
45.0,7.2,0.0,,2.7
100.0,7.2,0.0,,2.7
