pick_id,arrival_time,probability,phasehint,network,station,location,instrument_type,author,creation_time,event_start_time,event_end_time,detection_probability,snr,station_lat,station_lon,station_elv,file_name,mseed_start_time,mseed_end_time,sampling_rate,sample,segment,segment_type
20191224.213338.88-S-CM.YOT.0.HH,2019-12-24 21:33:38.888393,0.5297228,S,CM,YOT,0,HH,PhaseNet,2023-01-18 15:19:53.735353,,,,,3.9835,-76.345,1040.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.YOT.00.HHZ__20191224T210000Z__20191224T230000Z.mseed_201000,2019-12-24 21:00:00.018393,2019-12-24 23:00:00.018393,100.0,887,201000,single
20191224.213339.11-S-CM.YOT.0.HH,2019-12-24 21:33:39.118393,0.52704495,S,CM,YOT,0,HH,PhaseNet,2023-01-18 15:19:18.756102,,,,,3.9835,-76.345,1040.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.YOT.00.HHN__20191224T210000Z__20191224T230000Z.mseed_201000,2019-12-24 21:00:00.018393,2019-12-24 23:00:00.018393,100.0,910,201000,single
20191224.213339.47-S-CM.YOT.0.HH,2019-12-24 21:33:39.478393,0.8058101,S,CM,YOT,0,HH,PhaseNet,2023-01-18 15:18:23.099056,,,,,3.9835,-76.345,1040.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.YOT.00.HHE__20191224T210000Z__20191224T230000Z.mseed_201000,2019-12-24 21:00:00.018393,2019-12-24 23:00:00.018393,100.0,946,201000,single
20191224.213342.96-P-CM.FLO2.0.HH,2019-12-24 21:33:42.968393,0.5036319,P,CM,FLO2,0,HH,PhaseNet,2023-01-18 15:19:22.405584,,,,,1.582667,-75.652667,365.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.FLO2.00.HHN__20191224T210000Z__20191224T230000Z.mseed_201000,2019-12-24 21:00:00.018393,2019-12-24 23:00:00.018393,100.0,1295,201000,single
20191224.213342.97-S-CM.FLO2.0.HH,2019-12-24 21:33:42.978393,0.7541637,S,CM,FLO2,0,HH,PhaseNet,2023-01-18 15:18:23.068583,,,,,1.582667,-75.652667,365.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.FLO2.00.HHZ__20191224T210000Z__20191224T230000Z.mseed_201000,2019-12-24 21:00:00.018393,2019-12-24 23:00:00.018393,100.0,1296,201000,single
20191224.213345.99-S-CM.FLO2.0.HH,2019-12-24 21:33:45.998393,0.7154357,S,CM,FLO2,0,HH,PhaseNet,2023-01-18 15:19:29.083522,,,,,1.582667,-75.652667,365.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.FLO2.00.HHN__20191224T210000Z__20191224T230000Z.mseed_924000,2019-12-24 21:00:00.018393,2019-12-24 23:00:00.018393,100.0,98,924000,overlap
20191224.213347.62-P-CM.URMC.0.HH,2019-12-24 21:33:47.628394,0.95376986,P,CM,URMC,0,HH,PhaseNet,2023-01-18 15:18:59.520868,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed_924000,2019-12-24 20:59:59.998394,2019-12-24 22:59:59.998394,100.0,263,924000,overlap
20191224.213347.63-P-CM.URMC.0.HH,2019-12-24 21:33:47.638393,0.8198164,P,CM,URMC,0,HH,PhaseNet,2023-01-18 15:17:51.575589,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHE__20191224T205959Z__20191224T225959Z.mseed_201000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,1764,201000,single
20191224.213347.71-P-CM.URMC.0.HH,2019-12-24 21:33:47.718393,0.7947647,P,CM,URMC,0,HH,PhaseNet,2023-01-18 15:19:34.536917,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed_201000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,1772,201000,single
20191224.213351.39-S-CM.URMC.0.HH,2019-12-24 21:33:51.398393,0.7836692,S,CM,URMC,0,HH,PhaseNet,2023-01-18 15:19:34.892888,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed_201000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,2140,201000,single
