pick_id,arrival_time,probability,phasehint,network,station,location,instrument_type,author,creation_time,event_start_time,event_end_time,detection_probability,snr,station_lat,station_lon,station_elv,file_name
20191224.215015.33-S-CM.FLO2.00.HH,2019-12-24 21:50:15.338393,0.23,S,CM,FLO2,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 21:49:45.648393,2019-12-24 21:50:27.658393,0.97,8.2,1.582667,-75.652667,365.0,/home/emmanuel/SeisMonitor/out/downloads/FLO2/CM.FLO2.00.HHN__20191224T210000Z__20191224T230000Z.mseed
20191224.215024.30-S-CM.URMC.00.HH,2019-12-24 21:50:24.308393,0.22,S,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 21:50:23.998393,2019-12-24 21:50:26.568393,0.19,0.3,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed
20191224.215030.52-P-CM.PRA.00.HH,2019-12-24 21:50:30.528393,0.12,P,CM,PRA,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:50:30.438393,2019-12-24 21:50:44.378393,0.53,4.0,3.713833,-74.886167,457.0,/home/emmanuel/SeisMonitor/out/downloads/PRA/CM.PRA.00.HHZ__20191224T210000Z__20191224T230000Z.mseed
20191224.215040.36-S-CM.PRA.00.HH,2019-12-24 21:50:40.368393,0.42,S,CM,PRA,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 21:50:30.438393,2019-12-24 21:50:44.378393,0.53,12.0,3.713833,-74.886167,457.0,/home/emmanuel/SeisMonitor/out/downloads/PRA/CM.PRA.00.HHZ__20191224T210000Z__20191224T230000Z.mseed
20191224.215121.39-P-CM.URMC.00.HH,2019-12-24 21:51:21.398393,0.59,P,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:51:21.308393,2019-12-24 21:51:23.988393,0.3,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed
20191224.215122.03-S-CM.URMC.00.HH,2019-12-24 21:51:22.038393,0.06,S,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 21:51:21.308393,2019-12-24 21:51:23.988393,0.3,0.3,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed
20191224.215130.31-P-CM.PRA.00.HH,2019-12-24 21:51:30.318393,0.81,P,CM,PRA,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:51:30.278393,2019-12-24 21:51:45.208393,0.97,13.7,3.713833,-74.886167,457.0,/home/emmanuel/SeisMonitor/out/downloads/PRA/CM.PRA.00.HHZ__20191224T210000Z__20191224T230000Z.mseed
20191224.215140.86-S-CM.PRA.00.HH,2019-12-24 21:51:40.868393,0.43,S,CM,PRA,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 21:51:30.278393,2019-12-24 21:51:45.208393,0.97,9.5,3.713833,-74.886167,457.0,/home/emmanuel/SeisMonitor/out/downloads/PRA/CM.PRA.00.HHZ__20191224T210000Z__20191224T230000Z.mseed
20191224.215155.01-P-CM.YOT.00.HH,2019-12-24 21:51:55.018393,0.6,P,CM,YOT,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:51:54.588393,2019-12-24 21:52:37.818393,0.96,3.0,3.9835,-76.345,1040.0,/home/emmanuel/SeisMonitor/out/downloads/YOT/CM.YOT.00.HHZ__20191224T210000Z__20191224T230000Z.mseed
20191224.215157.99-P-CM.FLO2.00.HH,2019-12-24 21:51:57.998393,0.68,P,CM,FLO2,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:51:57.668393,2019-12-24 21:52:40.578393,0.98,6.9,1.582667,-75.652667,365.0,/home/emmanuel/SeisMonitor/out/downloads/FLO2/CM.FLO2.00.HHN__20191224T210000Z__20191224T230000Z.mseed
20191224.215216.73-S-CM.URMC.00.HH,2019-12-24 21:52:16.738393,0.12,S,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 21:52:14.668393,2019-12-24 21:52:17.548393,0.16,11.2,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed
20191224.215225.10-S-CM.YOT.00.HH,2019-12-24 21:52:25.108393,0.25,S,CM,YOT,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 21:51:54.588393,2019-12-24 21:52:37.818393,0.96,3.8,3.9835,-76.345,1040.0,/home/emmanuel/SeisMonitor/out/downloads/YOT/CM.YOT.00.HHZ__20191224T210000Z__20191224T230000Z.mseed
20191224.215227.92-S-CM.FLO2.00.HH,2019-12-24 21:52:27.928393,0.34,S,CM,FLO2,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 21:51:57.668393,2019-12-24 21:52:40.578393,0.98,5.5,1.582667,-75.652667,365.0,/home/emmanuel/SeisMonitor/out/downloads/FLO2/CM.FLO2.00.HHN__20191224T210000Z__20191224T230000Z.mseed
20191224.215440.27-P-CM.URMC.00.HH,2019-12-24 21:54:40.278393,0.21,P,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:54:40.228393,2019-12-24 21:54:46.378393,0.25,26.2,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed
