pick_id,timestamp,prob,type,network,station,location,instrument_type,author,creation_time,event_start_time,event_end_time,detection_probability,snr,station_lat,station_lon,station_elv,file_name,mseed_start_time,mseed_end_time,sampling_rate,sample,segment,segment_type,id,event_idx,prob_gamma
20191224.200503.93-P-CM.URMC.00.HH,2019-12-24 20:05:03.938394,0.9479838,P,CM,URMC,00,HH,PhaseNet,2023-01-18 22:12:37.518890,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed_390000,2019-12-24 18:59:59.998394,2019-12-24 20:59:59.998394,100.0,394,390000,single,CM.URMC.00.HH,5,5.201637313177043e-06
20191224.200507.41-S-CM.URMC.00.HH,2019-12-24 20:05:07.418393,0.7804605,S,CM,URMC,00,HH,PhaseNet,2023-01-18 22:12:08.667261,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHE__20191224T185959Z__20191224T205959Z.mseed_390000,2019-12-24 18:59:59.998393,2019-12-24 20:59:59.998393,100.0,742,390000,single,CM.URMC.00.HH,5,4.428122102475832e-06
20191224.200519.90-P-CM.ORTC.00.HH,2019-12-24 20:05:19.908393,0.8391369,P,CM,ORTC,00,HH,PhaseNet,2023-01-18 22:12:25.046746,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHE__20191224T185959Z__20191224T205959Z.mseed_1113000,2019-12-24 18:59:59.998393,2019-12-24 20:59:59.998393,100.0,491,1113000,overlap,CM.ORTC.00.HH,5,5.6457404771063765e-06
20191224.200522.18-P-CM.CHI.00.HH,2019-12-24 20:05:22.188394,0.86084294,P,CM,CHI,00,HH,PhaseNet,2023-01-18 22:12:13.298276,,,,,4.6295,-73.7371,3140.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.CHI.00.HHN__20191224T185959Z__20191224T205959Z.mseed_1113000,2019-12-24 18:59:59.998394,2019-12-24 20:59:59.998394,100.0,719,1113000,overlap,CM.CHI.00.HH,5,7.64358984363595e-06
20191224.200539.92-S-CM.ORTC.00.HH,2019-12-24 20:05:39.928393,0.72845125,S,CM,ORTC,00,HH,PhaseNet,2023-01-18 22:12:43.648162,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHN__20191224T185959Z__20191224T205959Z.mseed_393000,2019-12-24 18:59:59.998393,2019-12-24 20:59:59.998393,100.0,993,393000,single,CM.ORTC.00.HH,5,8.809264191329742e-06
20191224.203216.27-P-CM.URMC.00.HH,2019-12-24 20:32:16.278394,0.9744129,P,CM,URMC,00,HH,PhaseNet,2023-01-18 22:12:38.168106,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed_552000,2019-12-24 18:59:59.998394,2019-12-24 20:59:59.998394,100.0,1628,552000,single,CM.URMC.00.HH,6,5.201637313177043e-06
20191224.203220.72-S-CM.URMC.00.HH,2019-12-24 20:32:20.728393,0.7686983,S,CM,URMC,00,HH,PhaseNet,2023-01-18 22:12:15.519546,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHE__20191224T185959Z__20191224T205959Z.mseed_1275000,2019-12-24 18:59:59.998393,2019-12-24 20:59:59.998393,100.0,573,1275000,overlap,CM.URMC.00.HH,6,4.428122102475832e-06
20191224.203231.22-P-CM.ORTC.00.HH,2019-12-24 20:32:31.228393,0.879934,P,CM,ORTC,00,HH,PhaseNet,2023-01-18 22:12:31.554775,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed_1275000,2019-12-24 18:59:59.998393,2019-12-24 20:59:59.998393,100.0,1623,1275000,overlap,CM.ORTC.00.HH,6,5.6457404771063765e-06
20191224.203233.71-P-CM.CHI.00.HH,2019-12-24 20:32:33.718394,0.81651044,P,CM,CHI,00,HH,PhaseNet,2023-01-18 22:12:09.463677,,,,,4.6295,-73.7371,3140.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.CHI.00.HHN__20191224T185959Z__20191224T205959Z.mseed_555000,2019-12-24 18:59:59.998394,2019-12-24 20:59:59.998394,100.0,372,555000,single,CM.CHI.00.HH,6,7.64358984363595e-06
20191224.203250.84-S-CM.ORTC.00.HH,2019-12-24 20:32:50.848393,0.83826965,S,CM,ORTC,00,HH,PhaseNet,2023-01-18 22:12:22.748620,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHE__20191224T185959Z__20191224T205959Z.mseed_555000,2019-12-24 18:59:59.998393,2019-12-24 20:59:59.998393,100.0,2085,555000,single,CM.ORTC.00.HH,6,8.809264191329742e-06
