time,magnitude,sigma_time,sigma_amp,cov_time_amp,gamma_score,event_index,x(km),y(km),z(km)
2019-12-24 19:15:41.858,999,0.66730004730135,0,0,9.865740961082013,2019-12-24 19:15:41.858,1005.1509870347418,835.7663928531956,35.698027487670565
2019-12-24 19:48:09.563,999,0.4568417379092364,0,0,8.547646624619619,2019-12-24 19:48:09.563,992.3330557047425,846.7912366001007,22.450580561279402
2019-12-24 19:53:31.163,999,0.7855461720232642,0,0,7.99999999999411,2019-12-24 19:53:31.163,1010.8158521935804,821.9283564640324,11.458743041209177
2019-12-24 19:58:43.429,999,0.6593219289340465,0,0,11.999908107902833,2019-12-24 19:58:43.429,1006.1863862470791,830.9467751287738,27.162668944476493
2019-12-24 19:56:33.734,999,0.5906856295310609,0,0,11.0,2019-12-24 19:56:33.734,1009.0588087997884,837.8041088093481,0.0
2019-12-24 20:04:57.549,999,0.7978926140317988,0,0,9.999238299528951,2019-12-24 20:04:57.549,1004.718493901818,834.4858073503152,0.0
2019-12-24 20:32:09.703,999,0.6190045601382406,0,0,9.96087622198935,2019-12-24 20:32:09.703,1009.0143367239432,840.4477124586833,3.0404088369633455
2019-12-24 20:50:35.679,999,0.6608380155263225,0,0,7.99994540941751,2019-12-24 20:50:35.679,1004.6963486816032,835.2873945656245,0.7356646929429597
2019-12-24 21:10:31.398,999,0.6854453043251373,0,0,12.933721324688507,2019-12-24 21:10:31.398,1011.7703663135735,827.8302630728092,15.999699820175486
2019-12-24 21:17:21.102,999,0.639801529460839,0,0,8.105806515097829,2019-12-24 21:17:21.102,1011.0313364209288,820.935358317151,0.0
2019-12-24 21:34:48.295,999,0.23232643477122922,0,0,11.999889193662579,2019-12-24 21:34:48.295,988.9125815834144,849.9609660563551,29.235746698692033
2019-12-24 21:38:27.027,999,0.7437478524979456,0,0,11.92756061606758,2019-12-24 21:38:27.027,1008.7026251822745,826.107587778206,0.0
2019-12-24 21:54:31.182,999,0.6527700659981337,0,0,10.95437464824055,2019-12-24 21:54:31.182,1013.2606444591387,823.3617178023734,25.92588877754734
2019-12-24 22:28:01.086,999,0.635485862216389,0,0,9.357426905841619,2019-12-24 22:28:01.086,1011.4202244350369,825.6828377160679,0.18913999178527652
2019-12-24 22:47:36.109,999,0.6928564618149908,0,0,8.999999000353956,2019-12-24 22:47:36.109,1009.0779329103365,826.7930953312638,6.648449173577628
2019-12-24 22:57:53.738,999,0.6646367098854098,0,0,10.993479364178588,2019-12-24 22:57:53.738,1007.1117040774404,826.9444720521301,25.171283655848917
2019-12-24 23:15:04.807,999,0.9960539481053595,0,0,8.892293996534649,2019-12-24 23:15:04.807,1011.3225134261074,823.7277824089878,0.0
2019-12-24 23:32:42.582,999,0.5541240840047483,0,0,8.90627983643956,2019-12-24 23:32:42.582,1004.1367533119721,831.8591355882073,0.0
