pick_id,timestamp,prob,type,network,station,location,instrument_type,author,creation_time,event_start_time,event_end_time,detection_probability,snr,station_lat,station_lon,station_elv,file_name,id,event_idx,prob_gamma
20191224.212554.25-P-CM.URMC.00.HH,2019-12-24 21:25:54.258393,0.63,P,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:25:54.048393,2019-12-24 21:25:59.618393,0.34,25.6,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed,CM.URMC.00.HH,19,1.965125602997957e-06
20191224.212558.20-S-CM.URMC.00.HH,2019-12-24 21:25:58.208393,0.32,S,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 21:25:54.048393,2019-12-24 21:25:59.618393,0.34,14.0,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed,CM.URMC.00.HH,19,2.4283749093416853e-06
20191224.212609.34-P-CM.ORTC.00.HH,2019-12-24 21:26:09.348393,0.74,P,CM,ORTC,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:26:09.198393,2019-12-24 21:26:30.928393,0.94,17.4,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/downloads/ORTC/CM.ORTC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed,CM.ORTC.00.HH,19,8.232169860340049e-06
20191224.212611.39-P-CM.CHI.00.HH,2019-12-24 21:26:11.398393,0.39,P,CM,CHI,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:26:10.898393,2019-12-24 21:26:39.038393,0.75,18.1,4.6295,-73.7371,3140.0,/home/emmanuel/SeisMonitor/out/downloads/CHI/CM.CHI.00.HHN__20191224T205959Z__20191224T225959Z.mseed,CM.CHI.00.HH,19,1.083986087858577e-05
20191224.212624.64-S-CM.ORTC.00.HH,2019-12-24 21:26:24.648393,0.3,S,CM,ORTC,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 21:26:09.198393,2019-12-24 21:26:30.928393,0.94,3.0,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/downloads/ORTC/CM.ORTC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed,CM.ORTC.00.HH,19,7.70645104884309e-06
20191224.213850.46-P-CM.ORTC.00.HH,2019-12-24 21:38:50.468393,0.59,P,CM,ORTC,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:38:50.278393,2019-12-24 21:39:18.718393,0.92,13.4,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/downloads/ORTC/CM.ORTC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed,CM.ORTC.00.HH,20,1.965125602997957e-06
20191224.213850.80-P-CM.URMC.00.HH,2019-12-24 21:38:50.808393,0.03,P,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:38:51.678393,2019-12-24 21:38:52.158393,0.1,23.3,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed,CM.URMC.00.HH,20,2.4283749093416853e-06
20191224.213852.52-P-CM.CHI.00.HH,2019-12-24 21:38:52.528393,0.51,P,CM,CHI,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:38:52.118393,2019-12-24 21:39:18.538393,0.82,14.5,4.6295,-73.7371,3140.0,/home/emmanuel/SeisMonitor/out/downloads/CHI/CM.CHI.00.HHN__20191224T205959Z__20191224T225959Z.mseed,CM.CHI.00.HH,20,8.232169860340049e-06
20191224.213910.34-S-CM.ORTC.00.HH,2019-12-24 21:39:10.348393,0.53,S,CM,ORTC,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 21:38:50.278393,2019-12-24 21:39:18.718393,0.92,10.8,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/downloads/ORTC/CM.ORTC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed,CM.ORTC.00.HH,20,1.083986087858577e-05
20191224.213910.81-S-CM.CHI.00.HH,2019-12-24 21:39:10.818393,0.29,S,CM,CHI,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 21:38:52.118393,2019-12-24 21:39:18.538393,0.82,4.5,4.6295,-73.7371,3140.0,/home/emmanuel/SeisMonitor/out/downloads/CHI/CM.CHI.00.HHN__20191224T205959Z__20191224T225959Z.mseed,CM.CHI.00.HH,20,7.70645104884309e-06
